checkpoint,boundary_action,action_index,joint,delta_from_cached_h50_rad,abs_delta_rad
step_000025,5,8,11,0.00046803057193756104,0.00046803057193756104
step_000025,5,9,0,0.05862557888031006,0.05862557888031006
step_000025,5,9,1,-0.0009442567825317383,0.0009442567825317383
step_000025,5,9,2,-0.011160850524902344,0.011160850524902344
step_000025,5,9,3,-0.011594772338867188,0.011594772338867188
step_000025,5,9,4,-0.15233972668647766,0.15233972668647766
step_000025,5,9,5,0.005862995982170105,0.005862995982170105
step_000025,5,9,6,0.09795889258384705,0.09795889258384705
step_000025,5,9,7,0.09513258934020996,0.09513258934020996
step_000025,5,9,8,-0.1863861083984375,0.1863861083984375
step_000025,5,9,9,0.04531264305114746,0.04531264305114746
step_000025,5,9,10,0.15385040640830994,0.15385040640830994
step_000025,5,9,11,0.012255489826202393,0.012255489826202393
step_000025,5,10,0,0.07268352806568146,0.07268352806568146
step_000025,5,10,1,-0.054294705390930176,0.054294705390930176
step_000025,5,10,2,0.03060305118560791,0.03060305118560791
step_000025,5,10,3,-0.005894303321838379,0.005894303321838379
step_000025,5,10,4,-0.11465322971343994,0.11465322971343994
